Job Title,Company Name,Location,Meta-info,Link
FPGA Firmware Engineer,Pulse Medica,"Hybrid remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=3548b0caf2b318a1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
electrical engineering technician,Weather On Demand,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=f0e1d412de81afb8&mtk=1gvamvdsekc1d801&from=serp
Electrical Engineer / Designer,Bantrel Co.,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=9235e878879e74e1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D10%26l%3Dedmonton&mtk=1gvamvdsekc1d801&from=serp
Home Network QA Lead,TELUS,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=0445e9cb15f68d6d&mtk=1gvamvdsekc1d801&from=serp
Pipeline Operations Engineer,Suncor Energy,"Sherwood Park, AB",Full-time,indeed.com/rc/clk?jk=14aca4bef8facf4b&mtk=1gvamveclkp3a801&from=serp
Power Systems Consultant - Transient Analysis (Remote-Canada),Siemens,"Remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=4c3ffea1b68a2f71&mtk=1gvamveclkp3a801&from=serp
Utilities Engineer,City of Edmonton,"Hybrid remote in Edmonton, AB","$75,966-$108,522 a year",indeed.com/rc/clk?jk=1798d92b887e4b70&mtk=1gvamveclkp3a801&from=serp
Electrical Engineering Technician,Magga Engineering Corporation,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=c97ef58d8369d824&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Electrical Metering Technician,Carma Corp. Utility Submetering and Billing...,"Hybrid remote in Edmonton, AB",From $27 an hour,indeed.com/rc/clk?jk=19061822a52b6041&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Technology Analyst,Vanmok Leak Detection Technologies Inc,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=54fd5fc77cf07259&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Application Engineer,Schneider Electric,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=d0b768bfb9e9f4be&mtk=1gvamveclkp3a801&from=serp
September 2023 Electrical Engineering Co-op,Atco Ltd.,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=91f199f23413c53a&mtk=1gvamveclkp3a801&from=serp
Electrical Engineering Technician,Wchh Construction Services Inc,"Edmonton, AB",$35.50 an hour,indeed.com/rc/clk?jk=62ca2f145ae8ddc7&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Instrumentation & Controls Engineer,GHD,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=b577962642acc343&mtk=1gvamveclkp3a801&from=serp
Electrical Engineer in Training - Co-op Student - Edmonton,Magna IV Engineering,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=140e596451113d2b&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Intermediate Electrical Engineer,Kleinfelder Inc,"Hybrid remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=518154055f62e0ce&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Electrical Designer,PB Tec,"Edmonton, AB",$25-$45 an hour,indeed.com/rc/clk?jk=8ee86600fd70faa9&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Electrical Engineer - Senior,BBA,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=2b9ad891a767d7fd&mtk=1gvamveclkp3a801&from=serp
Electrical EIT,Kleinfelder Inc,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=abcf6481c79138e5&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Electrical Engineer - EIT,BBA inc.,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e5abc186f74f4a2b&mtk=1gvamveclkp3a801&from=serp
Electrical Engineer,Federation Engineering,"Hybrid remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=2675bcfe36725856&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
2nd Class Shift Engineer/Supervisor,Celanese International Corporation,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=65876b7c7ce39578&mtk=1gvamveclkp3a801&from=serp
"Senior Engineer, Electrical Protection & Control - Edmonton",Magna IV Engineering,"Remote in Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=da607270e3a3b209&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Control Systems Lead,JLL,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=6eaa0f226f6feffd&mtk=1gvamveclkp3a801&from=serp
Electrical Engineering Technologist,Edmonton Airports,"Edmonton, AB",From $49.01 an hour,indeed.com/rc/clk?jk=4c3304c0e461e668&mtk=1gvamveclkp3a801&from=serp
FPGA Firmware Engineer,Pulse Medica,"Hybrid remote in Edmonton, AB",Full-time,indeed.com/rc/clk?jk=3548b0caf2b318a1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
electrical engineering technician,Weather On Demand,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=f0e1d412de81afb8&mtk=1gvamveclkp3a801&from=serp
Electrical Engineer / Designer,Bantrel Co.,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=9235e878879e74e1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D20%26l%3Dedmonton&mtk=1gvamveclkp3a801&from=serp
Home Network QA Lead,TELUS,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=0445e9cb15f68d6d&mtk=1gvamveclkp3a801&from=serp
Senior Electrical Engineer,Stantec,"Remote in Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=582c9f5e791b21a6&mtk=1gvamvetv2lqk001&from=serp
Intermediate Controls Systems Technician/Engineer,Elite Automation Engineering Services Inc.,"Hybrid remote in Edmonton, AB","$55,000 a year",indeed.com/rc/clk?jk=76a375ce67dc0df1&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
"Intermediate Electrical Engineer, Water",Stantec,"Edmonton, AB",Full-time +2,indeed.com/rc/clk?jk=296625d485ca04f2&mtk=1gvamvetv2lqk001&from=serp
2nd Class Stationary Engineer,AFIMAC Canada,"Edmonton, AB",$60 an hour,indeed.com/rc/clk?jk=9aea428775139bbb&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
electrical engineering technician,Perfect Heating & Air-Conditioning,"Edmonton, AB",$35.38 an hour,indeed.com/rc/clk?jk=8e6ec1d6ee2e643f&mtk=1gvamvetv2lqk001&from=serp
Project Order Engineering Specialist,Eaton Corporation,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=f46b07537748ebdf&mtk=1gvamvetv2lqk001&from=serp
Laboratory Technician - Industrial Engineering,Underwriters Laboratories Inc.,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=5070dee0afc4ffc2&mtk=1gvamvetv2lqk001&from=serp
Electrical Engineering Technologist,BBA,"Remote in Edmonton, AB",N/A,indeed.com/rc/clk?jk=6c24731ddffc6b79&mtk=1gvamvetv2lqk001&from=serp
Electrical Field Services Technician/Technologist/Engineer-Commercial Dept,Magna IV Engineering,"Edmonton, AB",$35-$40 an hour,indeed.com/rc/clk?jk=a02dbdbe73114f17&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
Electrical Distribution Designer,Primary,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=b3399fd3ff6b3714&mtk=1gvamvetv2lqk001&from=serp
Electrical Technician/Technologist - New Grad - Commercial Dept,Magna IV Engineering,"Edmonton, AB",Full-time +1,indeed.com/rc/clk?jk=325cd7993d7b1fbe&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
Electrical ICAT Designer,MCW Group of Companies,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=548822c464dbc9de&mtk=1gvamvetv2lqk001&from=serp
Optical Transport Engineer,TELUS,"Edmonton, AB",Full-time,indeed.com/rc/clk?jk=24bf024c2eb0aee8&mtk=1gvamvetv2lqk001&from=serp
Lead Technical Services Representative,Shermco Industries,"Edmonton, AB",$45-$65 an hour,indeed.com/rc/clk?jk=58068f1c6b5b6419&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
Electrical Engineer - Intermediate,BBA,"Edmonton, AB",N/A,indeed.com/rc/clk?jk=e4bec620a93a24ed&mtk=1gvamvetv2lqk001&from=serp
Electrical Engineering Technologist,Edmonton International Airport,"Hybrid remote in Nisku, AB",$49.01-$54.35 an hour,indeed.com/rc/clk?jk=9b423f011cd7b8ff&prevUrl=https%3A%2F%2Fca.indeed.com%2Fm%2Fjobs%3Fq%3Delectrical%2Bengineer%26start%3D30%26l%3Dedmonton&mtk=1gvamvetv2lqk001&from=serp
